URL,Headline,Content_Pubdate,Content_Subtitle,Content_Wrapper
https://www.mprnews.org/story/2023/05/30/hourly-school-workers-now-eligible-for-summer-jobless-benefits-in-minnesota,Hourly school workers now eligible for summer jobless benefits in Minnesota,"May 30, 2023 5:31 PM",NA,NA
https://www.mprnews.org/story/2011/10/20/bowers,"Forty years on, she renews an acquaintance with a teacher who changed her life","October 20, 2011 5:00 AM",NA,NA
https://www.mprnews.org/episode/2023/12/04/historic-minnesota-law-require-schools-to-adopt-a-new-reading-curriculum-to-close-reading-gap,Historic Minnesota law requires schools to adopt a new reading curriculum to close reading gap,"December 4, 2023 2:12 PM",NA,NA
https://www.mprnews.org/story/2023/02/06/future-of-us-whats-next-for-education-in-minnesota,Future of Us: What's next for education in Minnesota?,"February 6, 2023 6:38 PM",NA,NA
https://www.mprnews.org/story/2022/10/28/north-high-students-teachers-parents-call-for-solutions-to-gun-violence-in-minneapolis,"North High students, teachers, parents call for solutions to gun violence in Minneapolis","October 28, 2022 7:45 AM",NA,NA
https://www.mprnews.org/story/2022/05/05/me-and-mr-bridgeman,Me and Mr. Bridgeman: How a teacher transformed a student's life,"May 11, 2022 4:00 AM",NA,NA
https://www.mprnews.org/story/2010/10/25/drury,"Paul Wellstone: a teacher in life, and also in death","October 25, 2010 5:00 AM",NA,NA
https://www.mprnews.org/episode/2022/08/17/with-the-first-day-of-school-approaching-districts-are-scrambling-to-find-teachers-and-staff,"With the first day of school approaching, districts are scrambling to find teachers and staff","August 17, 2022 5:12 PM",NA,NA
https://www.mprnews.org/episode/2022/08/17/with-the-first-day-of-school-approaching-districts-are-scrambling-to-find-teachers-and-staff,"With the first day of school approaching, districts are scrambling to find teachers and staff","August 17, 2022 5:12 PM",NA,NA
https://www.mprnews.org/story/2022/03/08/photos-teachers-take-up-the-picket-line-for-strike,Photos: Teachers take up the picket line for strike,"March 8, 2022 11:03 AM",NA,NA
https://www.mprnews.org/story/2022/03/18/hopeful-signs-emerge-in-negotiations-on-day-10-of-mpls-teacher-strike,Hopeful signs emerge in negotiations on Day 9 of Mpls. teacher strike,"March 18, 2022 4:40 PM",NA,NA
https://www.mprnews.org/episode/2022/03/17/a-minneapolis-parent-and-a-teacher-in-on-teachers-strike-10-days-in,"A Minneapolis parent and a teacher talk teachers strike, 10 days in","March 17, 2022 1:28 PM",NA,NA
https://www.mprnews.org/episode/2020/06/03/minneapolis-public-schools-sever-ties-with-city-police,Minneapolis Public Schools sever ties with city police,"June 3, 2020 6:29 AM",NA,NA
https://www.mprnews.org/episode/2020/06/03/minneapolis-public-schools-sever-ties-with-city-police,Minneapolis Public Schools sever ties with city police,"June 3, 2020 6:29 AM",NA,NA
https://www.mprnews.org/story/2022/02/28/why-minneapolis-and-st-paul-educational-assistants-are-ready-to-strike,Why Minneapolis and St. Paul educational assistants are ready to strike,"February 28, 2022 10:42 AM",NA,NA
https://www.mprnews.org/story/2022/03/08/child-care-meals-activities-parent-resources-during-minneapolis-educators-strike,"Child care, meals, activities: Parent resources during Minneapolis educators strike ","March 8, 2022 12:50 PM",NA,NA
https://www.mprnews.org/story/2022/02/18/educators-in-st-paul-minneapolis-public-schools-vote-in-favor-of-strike,"Educators in St. Paul, Minneapolis public schools vote in favor of strike","February 18, 2022 7:04 AM",NA,NA
https://www.mprnews.org/story/2022/03/23/minneapolis-teacher-strike-runs-into-big-budget-obstacle-mental-health-costs,Minneapolis teacher strike runs into big budget obstacle: Mental health costs,"March 23, 2022 3:30 PM",NA,NA
https://www.mprnews.org/episode/2022/03/18/minneapolis-teachers-rally-at-governors-residence-as-strike-continues,"Minneapolis teachers rally at Governor's residence, as strike continues ","March 18, 2022 5:13 PM",NA,NA
https://www.mprnews.org/episode/2022/03/18/minneapolis-teachers-rally-at-governors-residence-as-strike-continues,"Minneapolis teachers rally at Governor's residence, as strike continues ","March 18, 2022 5:13 PM",NA,NA
https://www.mprnews.org/story/2022/03/18/equity-issues-at-stake-in-the-minneapolis-teacher-strike,Equity issues at stake in the Minneapolis teacher strike,"March 18, 2022 4:00 AM",NA,NA
