District,School,City,Grade Level,Expenditures Per Pupil
A.C.G.C. PUBLIC SCHOOL DISTRICT,,GROVE CITY,,"12,426.00"
A.C.G.C. PUBLIC SCHOOL DISTRICT,A.C.G.C. ELEMENTARY,ATWATER,Elementary,"12,613.00"
A.C.G.C. PUBLIC SCHOOL DISTRICT,A.C.G.C. SECONDARY,GROVE CITY,High,"13,606.00"
A.C.G.C. PUBLIC SCHOOL DISTRICT,ACGC ELEMENTARY GRADES 5 AND 6,GROVE CITY,Middle,"9,121.00"
ACADEMIA CESAR CHAVEZ CHARTER SCHOOL,,SAINT PAUL,,"14,606.00"
ACADEMIA CESAR CHAVEZ CHARTER SCHOOL,ACADEMIA CESAR CHAVEZ CHTR School,SAINT PAUL,Elementary,"14,606.00"
ACADEMIC ARTS HIGH SCHOOL,,WEST SAINT PAUL,,"20,116.00"
ACADEMIC ARTS HIGH SCHOOL,ACADEMIC ARTS HIGH School,WEST SAINT PAUL,High,"20,116.00"
ACHIEVE LANGUAGE ACADEMY,,SAINT PAUL,,"14,603.00"
ACHIEVE LANGUAGE ACADEMY,ACHIEVE LANGUAGE ACADEMY,SAINT PAUL,Elementary,"14,603.00"
ADA-BORUP PUBLIC SCHOOL DISTRICT,,ADA,,"12,575.00"
ADA-BORUP PUBLIC SCHOOL DISTRICT,ADA ELEMENTARY,ADA,Elementary,"11,219.00"
ADA-BORUP PUBLIC SCHOOL DISTRICT,ADA-BORUP SECONDARY,ADA,High,"13,788.00"
ADRIAN PUBLIC SCHOOL DISTRICT,,ADRIAN,,"11,856.00"
ADRIAN PUBLIC SCHOOL DISTRICT,ADRIAN ELEMENTARY,ADRIAN,Elementary,"11,938.00"
ADRIAN PUBLIC SCHOOL DISTRICT,ADRIAN MIDDLE,ADRIAN,Middle,"8,657.00"
ADRIAN PUBLIC SCHOOL DISTRICT,ADRIAN SECONDARY,ADRIAN,High,"14,223.00"
AFSA HIGH SCHOOL,,VADNAIS HEIGHTS,,"16,727.00"
AFSA HIGH SCHOOL,AFSA HIGH School,VADNAIS HEIGHTS,High,"16,622.00"
AFSA HIGH SCHOOL,AFSA MIDDLE School,MAPLEWOOD,Middle,"17,553.00"
AGAMIM CLASSICAL ACADEMY,,HOPKINS,,"13,101.00"
AGAMIM CLASSICAL ACADEMY,AGAMIM CLASSICAL ACADEMY,HOPKINS,Elementary,"13,101.00"
AITKIN PUBLIC SCHOOL DISTRICT,,AITKIN,,"11,546.00"
AITKIN PUBLIC SCHOOL DISTRICT,AITKIN ALTERNATIVE LEARNING PROGRAM,AITKIN,High,"78,797.00"
AITKIN PUBLIC SCHOOL DISTRICT,AITKIN SECONDARY School,AITKIN,High,"12,937.00"
AITKIN PUBLIC SCHOOL DISTRICT,RIPPLESIDE ELEMENTARY,AITKIN,Elementary,"10,644.00"
ALBANY PUBLIC SCHOOL DISTRICT,,ALBANY,,"10,639.00"
ALBANY PUBLIC SCHOOL DISTRICT,ALBANY AREA HIGH School,ALBANY,High,"12,197.00"
ALBANY PUBLIC SCHOOL DISTRICT,ALBANY AREA MIDDLE School,ALBANY,Middle,"9,078.00"
ALBANY PUBLIC SCHOOL DISTRICT,ALBANY ELEMENTARY,ALBANY,Elementary,"10,474.00"
ALBANY PUBLIC SCHOOL DISTRICT,AVON ELEMENTARY,AVON,Elementary,"10,674.00"
ALBERT LEA PUBLIC SCHOOL DISTRICT,,ALBERT LEA,,"13,710.00"
ALBERT LEA PUBLIC SCHOOL DISTRICT,ALBERT LEA AREA LEARNING CENTER,ALBERT LEA,High,"14,035.00"
ALBERT LEA PUBLIC SCHOOL DISTRICT,ALBERT LEA SENIOR HIGH,ALBERT LEA,High,"13,644.00"
ALBERT LEA PUBLIC SCHOOL DISTRICT,BROOKSIDE EARLY CHILDHOOD SP ED,ALBERT LEA,Prekindergarten,"34,874.00"
ALBERT LEA PUBLIC SCHOOL DISTRICT,HALVERSON ELEMENTARY,ALBERT LEA,Elementary,"15,829.00"
ALBERT LEA PUBLIC SCHOOL DISTRICT,HAWTHORNE ELEMENTARY,ALBERT LEA,Elementary,"12,375.00"
ALBERT LEA PUBLIC SCHOOL DISTRICT,LAKEVIEW ELEMENTARY,ALBERT LEA,Elementary,"14,996.00"
ALBERT LEA PUBLIC SCHOOL DISTRICT,SIBLEY ELEMENTARY,ALBERT LEA,Elementary,"11,409.00"
ALBERT LEA PUBLIC SCHOOL DISTRICT,SOUTHWEST MIDDLE,ALBERT LEA,Middle,"13,277.00"
ALDEN-CONGER PUBLIC SCHOOL DISTRICT,,ALDEN,,"12,323.00"
ALDEN-CONGER PUBLIC SCHOOL DISTRICT,ALDEN-CONGER ELEMENTARY,ALDEN,Elementary,"10,670.00"
ALDEN-CONGER PUBLIC SCHOOL DISTRICT,ALDEN-CONGER SECONDARY,ALDEN,High,"14,474.00"
ALEXANDRIA PUBLIC SCHOOL DISTRICT,,ALEXANDRIA,,"11,733.00"
ALEXANDRIA PUBLIC SCHOOL DISTRICT,ALEXANDRIA AREA HIGH School,ALEXANDRIA,High,"13,462.00"
ALEXANDRIA PUBLIC SCHOOL DISTRICT,CARLOS ELEMENTARY,CARLOS,Elementary,"11,599.00"
ALEXANDRIA PUBLIC SCHOOL DISTRICT,DISCOVERY MIDDLE School,ALEXANDRIA,Middle,"10,711.00"
ALEXANDRIA PUBLIC SCHOOL DISTRICT,EARLY EDUCATION CENTER,ALEXANDRIA,Prekindergarten,"20,616.00"
ALEXANDRIA PUBLIC SCHOOL DISTRICT,GARFIELD ELEMENTARY,GARFIELD,Elementary,"12,682.00"
ALEXANDRIA PUBLIC SCHOOL DISTRICT,LINCOLN ELEMENTARY,ALEXANDRIA,Elementary,"11,098.00"
ALEXANDRIA PUBLIC SCHOOL DISTRICT,MILTONA ELEMENTARY,MILTONA,Elementary,"11,394.00"
ALEXANDRIA PUBLIC SCHOOL DISTRICT,VOYAGER ELEMENTARY,ALEXANDRIA,Elementary,"11,254.00"
ALEXANDRIA PUBLIC SCHOOL DISTRICT,WOODLAND ELEMENTARY School,ALEXANDRIA,Elementary,"11,322.00"
ANNANDALE PUBLIC SCHOOL DISTRICT,,ANNANDALE,,"10,884.00"
ANNANDALE PUBLIC SCHOOL DISTRICT,ANNANDALE ELEMENTARY School,ANNANDALE,Elementary,"10,146.00"
ANNANDALE PUBLIC SCHOOL DISTRICT,ANNANDALE MIDDLE School,ANNANDALE,Middle,"10,002.00"
ANNANDALE PUBLIC SCHOOL DISTRICT,ANNANDALE SENIOR HIGH,ANNANDALE,High,"13,364.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,,ANOKA,,"13,162.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ADAMS ELEMENTARY,COON RAPIDS,Elementary,"14,522.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ALEXANDRA HOUSE,ANOKA,Other,"277,762.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ANDOVER ELEMENTARY,ANDOVER,Elementary,"11,323.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ANDOVER HIGH School,ANDOVER,High,"12,030.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ANOKA HIGH School,ANOKA,High,"11,857.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ANOKA MIDDLE School FOR THE ARTS,ANOKA,Middle,"13,008.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ANOKA-HENNEPIN REGIONAL HIGH School,COON RAPIDS,High,"18,609.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ANOKA-HENNEPIN REGN HS SUMMER PROG,COON RAPIDS,High,"4,852.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ANOKA-HENNEPIN REGN NIGHT School,COON RAPIDS,High,"6,295.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ANOKA-HENNEPIN SPECIALTY PROGRAM,ANOKA,High,"2,986.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ANOKA-HENNEPIN TECH HIGH School,ANOKA,High,"11,646.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ANTHONY LOUIS HOUSE,BLAINE,Other,"15,103.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,BLAINE HIGH School,BLAINE,High,"11,226.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,BRIDGES,ANDOVER,High,"51,788.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CHAMPLIN PARK HIGH School,CHAMPLIN,High,"11,983.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CHAMPLIN/BROOKLYN PK ACD MATH ENSCI,CHAMPLIN,Elementary,"12,366.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,COMPASS ON-LINE,COON RAPIDS,Other,"14,575.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,COMPASS-BELL CENTER,COON RAPIDS,High,"47,353.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,COON RAPIDS HIGH School,COON RAPIDS,High,"13,844.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,COON RAPIDS MIDDLE School,COON RAPIDS,Middle,"12,551.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,CROOKED LAKE ELEMENTARY,ANDOVER,Elementary,"12,759.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,DAYTON ELEMENTARY,DAYTON,Elementary,"13,776.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,EARLY CHILDHOOD/SPECIAL EDUCATION,ANOKA,Prekindergarten,"32,604.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,EISENHOWER ELEMENTARY,COON RAPIDS,Elementary,"11,999.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,EVERGREEN PARK ELEMENTARY,BROOKLYN CENTER,Elementary,"14,995.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,FRANKLIN ELEMENTARY,ANOKA,Elementary,"15,315.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,HAMILTON ELEMENTARY,COON RAPIDS,Elementary,"14,254.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,HOOVER ELEMENTARY BIOMED SCI EGNG,COON RAPIDS,Elementary,"16,085.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,JACKSON MIDDLE,CHAMPLIN,Middle,"11,606.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,JEFFERSON ELEMENTARY,BLAINE,Elementary,"13,478.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,JOHNSVILLE ELEMENTARY,BLAINE,Elementary,"11,029.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,LINCOLN ELEMENTARY,ANOKA,Elementary,"16,557.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,MADISON ELEMENTARY,BLAINE,Elementary,"13,799.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,MCKINLEY ELEMENTARY,HAM LAKE,Elementary,"11,492.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,MISSISSIPPI ELEMENTARY,COON RAPIDS,Elementary,"14,220.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,MONROE ELEMENTARY,BROOKLYN PARK,Elementary,"15,146.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,MORRIS BYE ELEMENTARY,COON RAPIDS,Elementary,"15,047.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,NORTHDALE MIDDLE,COON RAPIDS,Middle,"11,966.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,OAK VIEW MIDDLE,ANDOVER,Middle,"12,007.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,OXBOW CREEK ELEMENTARY,CHAMPLIN,Elementary,"11,778.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,PATHWAYS,COON RAPIDS,High,"24,524.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,RAMSEY ELEMENTARY,ANOKA,Elementary,"11,511.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,RIVER TRAIL LEARNING CTR @ LO JACOB,COON RAPIDS,Other,"60,958.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,ROOSEVELT MIDDLE,BLAINE,Middle,"11,361.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,RUM RIVER ELEMENTARY,ANDOVER,Elementary,"12,464.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SAND CREEK ELEMENTARY,COON RAPIDS,Elementary,"12,284.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,SECONDARY TECHNICAL ED PROG S.T.E.P,ANOKA,High,"19,095.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,STEP AHEAD HIGH School,ANOKA,High,"4,408.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,UNIVERSITY ELEMENTARY,BLAINE,Elementary,"12,972.00"
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,WILSON ELEMENTARY,ANOKA,Elementary,"12,449.00"
ARCADIA CHARTER SCHOOL,,NORTHFIELD,,"17,389.00"
ARCADIA CHARTER SCHOOL,ARCADIA CHARTER School,NORTHFIELD,High,"17,389.00"
ART AND SCIENCE ACADEMY,,ISANTI,,"11,363.00"
ART AND SCIENCE ACADEMY,ART & SCIENCE ACADEMY MIDDLE School,ISANTI,Middle,"7,446.00"
ART AND SCIENCE ACADEMY,ART AND SCIENCE ACADEMY,ISANTI,Elementary,"14,970.00"
ASHBY PUBLIC SCHOOL DISTRICT,,ASHBY,,"10,415.00"
ASHBY PUBLIC SCHOOL DISTRICT,ASHBY ELEMENTARY,ASHBY,Elementary,"8,994.00"
ASHBY PUBLIC SCHOOL DISTRICT,ASHBY SECONDARY,ASHBY,High,"12,455.00"
ASPEN ACADEMY,,SAVAGE,,"11,537.00"
ASPEN ACADEMY,ASPEN ACADEMY,SAVAGE,Elementary,"11,537.00"
ATHLOS ACADEMY OF SAINT CLOUD,,SAINT CLOUD,,"12,516.00"
ATHLOS ACADEMY OF SAINT CLOUD,ATHLOS ACADEMY OF SAINT CLOUD,SAINT CLOUD,Elementary,"12,516.00"
ATHLOS LEADERSHIP ACADEMY,,BROOKLYN PARK,,"12,945.00"
ATHLOS LEADERSHIP ACADEMY,ATHLOS LEADERSHIP ACADEMY,BROOKLYN PARK,Elementary,"12,945.00"
AUGSBURG FAIRVIEW ACADEMY,,MINNEAPOLIS,,"17,441.00"
AUGSBURG FAIRVIEW ACADEMY,AUGSBURG FAIRVIEW ACADEMY,MINNEAPOLIS,High,"17,441.00"
AURORA CHARTER SCHOOL,,MINNEAPOLIS,,"16,909.00"
AURORA CHARTER SCHOOL,AURORA CHARTER School,MINNEAPOLIS,Elementary,"22,879.00"
AURORA CHARTER SCHOOL,AURORA MIDDLE School,MINNEAPOLIS,Middle,"10,045.00"
AUSTIN PUBLIC SCHOOL DISTRICT,,AUSTIN,,"13,399.00"
AUSTIN PUBLIC SCHOOL DISTRICT,AUSTIN AREA LEARNING CENTER,AUSTIN,High,"15,568.00"
AUSTIN PUBLIC SCHOOL DISTRICT,AUSTIN AREA LEARNING CNTR. - SUMMER,AUSTIN,High,"6,248.00"
AUSTIN PUBLIC SCHOOL DISTRICT,AUSTIN COMMUNITY LEARNING CENTER,AUSTIN,Other,"30,037.00"
AUSTIN PUBLIC SCHOOL DISTRICT,AUSTIN SENIOR HIGH,AUSTIN,High,"13,519.00"
AUSTIN PUBLIC SCHOOL DISTRICT,BANFIELD ELEMENTARY,AUSTIN,Elementary,"13,687.00"
AUSTIN PUBLIC SCHOOL DISTRICT,CLC - PRE-KINDERGARTEN,AUSTIN,Prekindergarten,"3,795.00"
AUSTIN PUBLIC SCHOOL DISTRICT,ELLIS MIDDLE,AUSTIN,Middle,"13,678.00"
AUSTIN PUBLIC SCHOOL DISTRICT,I.J. HOLTON INTERMEDIATE School,AUSTIN,Middle,"12,441.00"
AUSTIN PUBLIC SCHOOL DISTRICT,NEVELN ELEMENTARY,AUSTIN,Elementary,"13,419.00"
AUSTIN PUBLIC SCHOOL DISTRICT,SOUTHGATE ELEMENTARY,AUSTIN,Elementary,"13,247.00"
AUSTIN PUBLIC SCHOOL DISTRICT,SUMNER ELEMENTARY,AUSTIN,Elementary,"12,892.00"
AUSTIN PUBLIC SCHOOL DISTRICT,WOODSON KINDERGARTEN CENTER,AUSTIN,Elementary,"13,314.00"
AVALON SCHOOL,,SAINT PAUL,,"16,453.00"
AVALON SCHOOL,AVALON MIDDLE School,ST. PAUL,Middle,"9,584.00"
AVALON SCHOOL,AVALON School,SAINT PAUL,High,"19,443.00"
BADGER PUBLIC SCHOOL DISTRICT,,BADGER,,"15,499.00"
BADGER PUBLIC SCHOOL DISTRICT,BADGER ELEMENTARY,BADGER,Elementary,"15,486.00"
BADGER PUBLIC SCHOOL DISTRICT,BADGER SECONDARY,BADGER,High,"15,545.00"
BAGLEY PUBLIC SCHOOL DISTRICT,,BAGLEY,,"13,535.00"
BAGLEY PUBLIC SCHOOL DISTRICT,BAGLEY ALP,BAGLEY,High,"12,492.00"
BAGLEY PUBLIC SCHOOL DISTRICT,BAGLEY ELEMENTARY,BAGLEY,Elementary,"13,007.00"
BAGLEY PUBLIC SCHOOL DISTRICT,BAGLEY SECONDARY,BAGLEY,High,"14,166.00"
BARNESVILLE PUBLIC SCHOOL DIST.,,BARNESVILLE,,"10,859.00"
BARNESVILLE PUBLIC SCHOOL DIST.,BARNESVILLE ELEMENTARY,BARNESVILLE,Elementary,"10,114.00"
BARNESVILLE PUBLIC SCHOOL DIST.,BARNESVILLE SECONDARY,BARNESVILLE,High,"11,864.00"
BARNUM PUBLIC SCHOOL DISTRICT,,BARNUM,,"12,241.00"
BARNUM PUBLIC SCHOOL DISTRICT,BARNUM ELEMENTARY,BARNUM,Elementary,"11,858.00"
BARNUM PUBLIC SCHOOL DISTRICT,BARNUM SECONDARY,BARNUM,High,"12,691.00"
BATTLE LAKE PUBLIC SCHOOL DISTRICT,,BATTLE LAKE,,"11,608.00"
BATTLE LAKE PUBLIC SCHOOL DISTRICT,BATTLE LAKE ELEMENTARY,BATTLE LAKE,Elementary,"10,997.00"
BATTLE LAKE PUBLIC SCHOOL DISTRICT,BATTLE LAKE SECONDARY,BATTLE LAKE,High,"12,379.00"
BDOTE LEARNING CENTER,,MINNEAPOLIS,,"27,837.00"
BDOTE LEARNING CENTER,BDOTE LEARNING CENTER,MINNEAPOLIS,Elementary,"27,837.00"
BEACON ACADEMY,,CRYSTAL,,"12,254.00"
BEACON ACADEMY,BEACON ACADEMY,CRYSTAL,Elementary,"12,254.00"
BECKER PUBLIC SCHOOL DISTRICT,,BECKER,,"11,784.00"
BECKER PUBLIC SCHOOL DISTRICT,BECKER ALTERNATIVE LEARNING PROGRAM,BECKER,High,"2,061.00"
BECKER PUBLIC SCHOOL DISTRICT,BECKER INTERMEDIATE ELEMENTARY,BECKER,Elementary,"11,393.00"
BECKER PUBLIC SCHOOL DISTRICT,BECKER MIDDLE,BECKER,Middle,"10,831.00"
BECKER PUBLIC SCHOOL DISTRICT,BECKER PRIMARY,BECKER,Elementary,"12,268.00"
BECKER PUBLIC SCHOOL DISTRICT,BECKER SENIOR HIGH,BECKER,High,"12,792.00"
BELGRADE-BROOTEN-ELROSA SCHOOL DIST,,BELGRADE,,"12,082.00"
BELGRADE-BROOTEN-ELROSA SCHOOL DIST,BELGRADE-BROOTEN-ELROSA ELEMENTARY,BROOTEN,Elementary,"11,382.00"
BELGRADE-BROOTEN-ELROSA SCHOOL DIST,BELGRADE-BROOTEN-ELROSA SEC.,BELGRADE,High,"13,381.00"
BELLE PLAINE PUBLIC SCHOOL DISTRICT,,BELLE PLAINE,,"10,031.00"
BELLE PLAINE PUBLIC SCHOOL DISTRICT,BELLE PLAINE JUNIOR HIGH,BELLE PLAINE,Middle,"7,440.00"
BELLE PLAINE PUBLIC SCHOOL DISTRICT,BELLE PLAINE SENIOR HIGH,BELLE PLAINE,High,"10,786.00"
BELLE PLAINE PUBLIC SCHOOL DISTRICT,BELLE PLAINE TRANSITIONS/WORK EXPER,BELLE PLAINE,High,"2,717.00"
BELLE PLAINE PUBLIC SCHOOL DISTRICT,CHATFIELD ELEMENTARY,BELLE PLAINE,Elementary,"21,906.00"
BELLE PLAINE PUBLIC SCHOOL DISTRICT,EARLY CHILDHOOD PROGRAM,BELLE PLAINE,Prekindergarten,"2,717.00"
BELLE PLAINE PUBLIC SCHOOL DISTRICT,OAK CREST ELEMENTARY,BELLE PLAINE,Elementary,"2,717.00"
BEMIDJI PUBLIC SCHOOL DISTRICT,,BEMIDJI,,"13,220.00"
BEMIDJI PUBLIC SCHOOL DISTRICT,BEMIDJI AREA LEARNING CENTER,BEMIDJI,Other,"30,748.00"
BEMIDJI PUBLIC SCHOOL DISTRICT,BEMIDJI BYLAW,BEMIDJI,High,"39,313.00"
BEMIDJI PUBLIC SCHOOL DISTRICT,BEMIDJI MIDDLE,BEMIDJI,Middle,"12,338.00"
BEMIDJI PUBLIC SCHOOL DISTRICT,BEMIDJI MIDDLE ALP,BEMIDJI,Middle,"13,280.00"
BEMIDJI PUBLIC SCHOOL DISTRICT,BEMIDJI SENIOR HIGH,BEMIDJI,High,"13,403.00"
BEMIDJI PUBLIC SCHOOL DISTRICT,BEMIDJI SENIOR LUMBERJACK ALC,BEMIDJI,High,"11,944.00"
BEMIDJI PUBLIC SCHOOL DISTRICT,CENTRAL ELEMENTARY,BEMIDJI,Elementary,"13,714.00"
BEMIDJI PUBLIC SCHOOL DISTRICT,FIRST CITY School,BEMIDJI,Other,"30,892.00"
BEMIDJI PUBLIC SCHOOL DISTRICT,GENE DILLON ELEMENTARY School,BEMIDJI,Elementary,"10,964.00"
BEMIDJI PUBLIC SCHOOL DISTRICT,HORACE MAY ELEMENTARY,BEMIDJI,Elementary,"13,193.00"
BEMIDJI PUBLIC SCHOOL DISTRICT,J.W. SMITH ELEMENTARY,BEMIDJI,Elementary,"14,468.00"
BEMIDJI PUBLIC SCHOOL DISTRICT,LINCOLN ELEMENTARY,BEMIDJI,Elementary,"13,118.00"
BEMIDJI PUBLIC SCHOOL DISTRICT,NORTHERN ELEMENTARY,BEMIDJI,Elementary,"12,118.00"
BEMIDJI PUBLIC SCHOOL DISTRICT,OSHKI MANIDOO CENTER,BEMIDJI,High,"15,198.00"
BEMIDJI PUBLIC SCHOOL DISTRICT,PAUL BUNYAN CENTER,BEMIDJI,Elementary,"24,065.00"
BEMIDJI PUBLIC SCHOOL DISTRICT,SOLWAY ELEMENTARY,SOLWAY,Elementary,"12,141.00"
BENSON PUBLIC SCHOOL DISTRICT,,BENSON,,"13,661.00"
BENSON PUBLIC SCHOOL DISTRICT,BENSON AREA LEARNING CENTER,BENSON,High,"6,343.00"
BENSON PUBLIC SCHOOL DISTRICT,BENSON SECONDARY,BENSON,High,"15,814.00"
BENSON PUBLIC SCHOOL DISTRICT,HEARTLAND GIRLS RANCH,BENSON,High,"18,821.00"
BENSON PUBLIC SCHOOL DISTRICT,NORTHSIDE ELEMENTARY,BENSON,Elementary,"12,180.00"
BERTHA-HEWITT PUBLIC SCHOOL DIST.,,BERTHA,,"12,581.00"
BERTHA-HEWITT PUBLIC SCHOOL DIST.,BERTHA ELEMENTARY,BERTHA,Elementary,"12,003.00"
BERTHA-HEWITT PUBLIC SCHOOL DIST.,BERTHA SECONDARY,BERTHA,High,"13,767.00"
BEST ACADEMY,,MINNEAPOLIS,,"18,702.00"
BEST ACADEMY,BEST ACADEMY,MINNEAPOLIS,Elementary,"18,702.00"
BIG LAKE PUBLIC SCHOOL DISTRICT,,BIG LAKE,,"11,148.00"
BIG LAKE PUBLIC SCHOOL DISTRICT,BIG LAKE MIDDLE School,BIG LAKE,Middle,"10,402.00"
BIG LAKE PUBLIC SCHOOL DISTRICT,BIG LAKE SENIOR HIGH,BIG LAKE,High,"12,296.00"
BIG LAKE PUBLIC SCHOOL DISTRICT,INDEPENDENCE ELEMENTARY,BIG LAKE,Elementary,"11,086.00"
BIG LAKE PUBLIC SCHOOL DISTRICT,LIBERTY ELEMENTARY,BIG LAKE,Elementary,"11,455.00"
BIRCH GROVE COMMUNITY SCHOOL,,TOFTE,,"16,459.00"
BIRCH GROVE COMMUNITY SCHOOL,BIRCH GROVE COMMUNITY School,TOFTE,Elementary,"16,459.00"
BIRD ISLAND-OLIVIA-LAKE LILLIAN,,OLIVIA,,"13,290.00"
BIRD ISLAND-OLIVIA-LAKE LILLIAN,BOLD ALC,OLIVIA,High,"25,505.00"
BIRD ISLAND-OLIVIA-LAKE LILLIAN,BOLD SENIOR HIGH,OLIVIA,High,"14,118.00"
BIRD ISLAND-OLIVIA-LAKE LILLIAN,BOLD-BIRD ISLAND ELEMENTARY,BIRD ISLAND,Elementary,"12,355.00"
BLACKDUCK PUBLIC SCHOOL DISTRICT,,BLACKDUCK,,"12,354.00"
BLACKDUCK PUBLIC SCHOOL DISTRICT,BLACKDUCK ELEMENTARY,BLACKDUCK,Elementary,"11,810.00"
BLACKDUCK PUBLIC SCHOOL DISTRICT,BLACKDUCK SECONDARY,BLACKDUCK,High,"13,339.00"
BLOOMING PRAIRIE PUBLIC SCHOOL DIST,,BLOOMING PRAIRIE,,"10,995.00"
BLOOMING PRAIRIE PUBLIC SCHOOL DIST,BLOOMING PRAIRIE ELEMENTARY,BLOOMING PRAIRIE,Elementary,"10,091.00"
BLOOMING PRAIRIE PUBLIC SCHOOL DIST,BLOOMING PRAIRIE SECONDARY,BLOOMING PRAIRIE,High,"12,290.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,,BLOOMINGTON,,"15,325.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,BEACON ALP,BLOOMINGTON,High,"21,048.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,BEACON ALP IS,BLOOMINGTON,High,"4,593.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,BLOOMINGTON ECSE,BLOOMINGTON,Prekindergarten,"53,104.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,BLOOMINGTON SHARED TIME,BLOOMINGTON,Other,"4,593.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,BLOOMINGTON TRANSITION CENTER,BLOOMINGTON,High,"43,012.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,CHOICE ALTERNATIVE HIGH School,BLOOMINGTON,High,"11,611.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,HILLCREST ELEMENTARY,BLOOMINGTON,Elementary,"14,094.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,INDIAN MOUNDS ELEMENTARY,BLOOMINGTON,Elementary,"17,990.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,JEFFERSON SENIOR HIGH,BLOOMINGTON,High,"14,453.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,KENNEDY SENIOR HIGH,BLOOMINGTON,High,"14,249.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,NORMANDALE HILLS ELEMENTARY,BLOOMINGTON,Elementary,"13,924.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,OAK GROVE ELEMENTARY,BLOOMINGTON,Elementary,"14,288.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,OAK GROVE MIDDLE,BLOOMINGTON,Middle,"15,707.00"
BLOOMINGTON PUBLIC SCHOOL DISTRICT,OLSON ELEMENTARY,BLOOMINGTON,Elementary,"13,140.00"
